epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5222240686416626,0.0010000000474974513,1.8261958360671997,0.9071701169013977,0.1977507770061493,0.6059485077857971,1.1162370443344116,0.7181600332260132,0.5093962550163269
1,0.6281930208206177,0.0010000000474974513,1.0556881427764893,0.8223465085029602,0.4379520118236542,0.6337673664093018,0.9203280210494995,0.7780889272689819,0.5139094591140747
2,0.6509257555007935,0.0010000000474974513,0.8958970904350281,0.7901570796966553,0.5155466794967651,0.6676531434059143,0.811955451965332,0.809529185295105,0.5292246341705322
3,0.6643730401992798,0.0010000000474974513,0.8261826634407043,0.7812132239341736,0.5528734922409058,0.6769014596939087,0.7714564800262451,0.7852644324302673,0.5811630487442017
4,0.671901285648346,0.0010000000474974513,0.7897031903266907,0.7782263159751892,0.5776779055595398,0.6820065379142761,0.7499435544013977,0.7643557190895081,0.6174904108047485
5,0.6786156892776489,0.0010000000474974513,0.7665433287620544,0.777802050113678,0.5927714109420776,0.6853358745574951,0.7360857725143433,0.7648399472236633,0.6205978393554688
6,0.6809462904930115,0.0010000000474974513,0.7489466071128845,0.7776980996131897,0.601797878742218,0.6900710463523865,0.7201287150382996,0.7687703967094421,0.6272565722465515
7,0.6832584142684937,0.0010000000474974513,0.7378555536270142,0.7700307369232178,0.6067180633544922,0.6956200003623962,0.7099693417549133,0.7744604349136353,0.6371707320213318
8,0.6874757409095764,0.0010000000474974513,0.7283921837806702,0.7758733630180359,0.6137469410896301,0.6938443183898926,0.7039533257484436,0.7662742733955383,0.635765016078949
9,0.6904722452163696,0.0010000000474974513,0.7166204452514648,0.7752925753593445,0.6199988722801208,0.6990233659744263,0.6931552886962891,0.7681287527084351,0.6426457762718201
10,0.6906201839447021,0.0010000000474974513,0.7123633623123169,0.773003876209259,0.6226439476013184,0.7013909220695496,0.6865357160568237,0.7732179760932922,0.6412400007247925
11,0.6959288120269775,0.0010000000474974513,0.7029816508293152,0.7763293385505676,0.6278786063194275,0.7050902843475342,0.680991530418396,0.7750464081764221,0.6484906673431396
12,0.6969461441040039,0.0010000000474974513,0.6962571740150452,0.7757478952407837,0.630708634853363,0.7101213335990906,0.6750220060348511,0.7793911695480347,0.6592187285423279
13,0.7015148997306824,0.0010000000474974513,0.689588725566864,0.778383731842041,0.6388842463493347,0.7104172706604004,0.6722685694694519,0.7802777290344238,0.6568511128425598
14,0.7030871510505676,0.0010000000474974513,0.6832724809646606,0.7792965769767761,0.6422137022018433,0.71100914478302,0.665862500667572,0.8046204447746277,0.6313258409500122
15,0.7045853734016418,0.0010000000474974513,0.680629312992096,0.7795199751853943,0.6427870988845825,0.7089375257492065,0.6645808815956116,0.7775831818580627,0.6569991111755371
16,0.7061576247215271,0.0010000000474974513,0.6755107045173645,0.7793400883674622,0.6479292511940002,0.7073098421096802,0.6601564884185791,0.7729212045669556,0.6567771434783936
17,0.7069160342216492,0.0010000000474974513,0.6718815565109253,0.7794359922409058,0.6472448706626892,0.710639238357544,0.6556156873703003,0.7784661054611206,0.6601065397262573
18,0.7087101936340332,0.0010000000474974513,0.66888028383255,0.7809663414955139,0.6493535041809082,0.7187037467956543,0.6510219573974609,0.7851477265357971,0.666469395160675
19,0.7092096209526062,0.0010000000474974513,0.6639583110809326,0.7806633710861206,0.6538667678833008,0.7150784134864807,0.6494517922401428,0.7784897685050964,0.6651375889778137
20,0.7100789546966553,0.0010000000474974513,0.6605805158615112,0.7813537120819092,0.6534043550491333,0.7171500325202942,0.6444060802459717,0.781428337097168,0.668688952922821
21,0.7125390768051147,0.0010000000474974513,0.6571851968765259,0.7825340032577515,0.6570112705230713,0.7513317465782166,0.6435880064964294,0.8294394612312317,0.6645457148551941
22,0.7136673927307129,0.0010000000474974513,0.6520363092422485,0.783399760723114,0.6578251123428345,0.7181118726730347,0.6431650519371033,0.7847914695739746,0.6696507930755615
23,0.7149066925048828,0.0010000000474974513,0.65092533826828,0.7841353416442871,0.6600817441940308,0.7265462875366211,0.634960949420929,0.7909599542617798,0.6797129511833191
24,0.7160905003547668,0.0010000000474974513,0.6468966007232666,0.7827066779136658,0.6615430116653442,0.7235128879547119,0.6338180303573608,0.7871206402778625,0.6773453950881958
25,0.7179956436157227,0.0010000000474974513,0.6442510485649109,0.7860196232795715,0.6632817387580872,0.7260283827781677,0.6301210522651672,0.7899527549743652,0.6806007623672485
26,0.7168303728103638,0.0010000000474974513,0.6422237753868103,0.78419029712677,0.6635221838951111,0.7218851447105408,0.6279398202896118,0.78125,0.676975429058075
27,0.7185320854187012,0.0010000000474974513,0.6394004225730896,0.7859716415405273,0.6657418012619019,0.7218111753463745,0.6269222497940063,0.7848536968231201,0.674755871295929
28,0.7226384282112122,0.0010000000474974513,0.6344114542007446,0.7889084815979004,0.6712353825569153,0.727286159992218,0.6273055672645569,0.7902712225914001,0.6791210174560547
29,0.7237297296524048,0.0010000000474974513,0.6319624781608582,0.7910155057907104,0.6712723970413208,0.728469967842102,0.6245266795158386,0.7922502160072327,0.6822284460067749
30,0.7226014137268066,0.0010000000474974513,0.6310499310493469,0.7896977066993713,0.6692192554473877,0.7261024117469788,0.6226882934570312,0.7882664203643799,0.6839301586151123
31,0.7237667441368103,0.0010000000474974513,0.6287238597869873,0.7885916233062744,0.6727891564369202,0.7443770170211792,0.6211035251617432,0.8085851073265076,0.7010210156440735
